Temp,pH
-0.248,11.211
11.243,10.8876
17.551,10.7219
28.367,10.4458
34.225,10.3037
46.168,10.0276
52.477,9.8777
64.646,9.6252
70.955,9.4911
83.124,9.2465
89.434,9.1282
101.83,8.9152
108.817,8.8126
121.438,8.6154
128.2,8.5286
141.273,8.3708
148.035,8.2682
160.883,8.1183
168.546,8.0237
181.621,7.9132
188.834,7.8343
202.359,7.7002
209.347,7.6213
222.647,7.503
230.085,7.432
243.837,7.3452
250.6,7.2821
264.803,7.1953
271.566,7.1558
285.769,7.069
292.758,7.0533
306.511,6.998
311.471,6.9901
313.724,6.9428
325.668,6.6982
332.881,6.6193
345.728,6.43
352.715,6.3274
365.563,6.1617
372.549,6.0434
384.494,5.854
398.7,5.8619
